dt,currency,rate_to_rub,nominal
2016-05-19,RUB,1,1
2016-05-19,USD,65.0641,1
2016-05-20,EUR,74.2755,1
2016-05-20,GBP,96.8535,1
2016-05-20,RUB,1,1
2016-05-20,USD,66.211,1
2016-05-21,EUR,74.4623,1
2016-05-21,GBP,96.6523,1
2016-05-21,RUB,1,1
2016-05-21,USD,66.3775,1
2016-05-22,EUR,74.4623,1
2016-05-22,GBP,96.6523,1
2016-05-22,RUB,1,1
2016-05-22,USD,66.3775,1
2016-05-23,EUR,74.4623,1
2016-05-23,GBP,96.6523,1
2016-05-23,RUB,1,1
2016-05-23,USD,66.3775,1
2016-05-24,EUR,75.2675,1
2016-05-24,GBP,97.4602,1
2016-05-24,RUB,1,1
2016-05-24,USD,67.0475,1
2016-05-25,EUR,75.0349,1
2016-05-25,GBP,97.483,1
2016-05-25,RUB,1,1
2016-05-25,USD,67.0493,1
2016-05-26,EUR,73.4596,1
2016-05-26,GBP,96.4965,1
2016-05-26,RUB,1,1
2016-05-26,USD,65.8949,1
2016-05-27,EUR,72.8418,1
2016-05-27,GBP,95.977,1
2016-05-27,RUB,1,1
2016-05-27,USD,65.2062,1
2016-05-28,EUR,73.8474,1
2016-05-28,GBP,96.8298,1
2016-05-28,RUB,1,1
2016-05-28,USD,66.0413,1
2016-05-29,EUR,73.8474,1
2016-05-29,GBP,96.8298,1
2016-05-29,RUB,1,1
2016-05-29,USD,66.0413,1
2016-05-30,EUR,73.8474,1
2016-05-30,GBP,96.8298,1
2016-05-30,RUB,1,1
2016-05-30,USD,66.0413,1
2016-05-31,EUR,73.497,1
2016-05-31,GBP,96.5465,1
2016-05-31,RUB,1,1
2016-05-31,USD,66.0825,1
2016-06-01,EUR,73.4406,1
2016-06-01,GBP,96.2687,1
2016-06-01,RUB,1,1
2016-06-01,USD,65.9962,1
2016-06-02,EUR,74.2098,1
2016-06-02,GBP,96.3728,1
2016-06-02,RUB,1,1
2016-06-02,USD,66.6156,1
2016-06-03,EUR,74.8191,1
2016-06-03,GBP,96.2656,1
2016-06-03,RUB,1,1
2016-06-03,USD,66.7491,1
2016-06-04,EUR,74.561,1
2016-06-04,GBP,96.5155,1
2016-06-04,RUB,1,1
2016-06-04,USD,66.8529,1
2016-06-05,EUR,74.561,1
2016-06-05,GBP,96.5155,1
2016-06-05,RUB,1,1
2016-06-05,USD,66.8529,1
2016-06-06,EUR,74.561,1
2016-06-06,GBP,96.5155,1
2016-06-06,RUB,1,1
2016-06-06,USD,66.8529,1
2016-06-07,EUR,74.6907,1
2016-06-07,GBP,94.967,1
2016-06-07,RUB,1,1
2016-06-07,USD,65.7894,1
2016-06-08,EUR,74.1164,1
2016-06-08,GBP,94.9963,1
2016-06-08,RUB,1,1
2016-06-08,USD,65.2089,1
2016-06-09,EUR,73.5538,1
2016-06-09,GBP,93.999,1
2016-06-09,RUB,1,1
2016-06-09,USD,64.6797,1
2016-06-10,EUR,72.5682,1
2016-06-10,GBP,92.1875,1
2016-06-10,RUB,1,1
2016-06-10,USD,63.7402,1
2016-06-11,EUR,73.1909,1
2016-06-11,GBP,93.4185,1
2016-06-11,RUB,1,1
2016-06-11,USD,64.7077,1
2016-06-12,EUR,73.1909,1
2016-06-12,GBP,93.4185,1
2016-06-12,RUB,1,1
2016-06-12,USD,64.7077,1
2016-06-13,EUR,73.1909,1
2016-06-13,GBP,93.4185,1
2016-06-13,RUB,1,1
2016-06-13,USD,64.7077,1
2016-06-14,EUR,73.1909,1
2016-06-14,GBP,93.4185,1
2016-06-14,RUB,1,1
2016-06-14,USD,64.7077,1
2016-06-15,EUR,74.3174,1
2016-06-15,GBP,93.4003,1
2016-06-15,RUB,1,1
2016-06-15,USD,66.0306,1
2016-06-16,EUR,73.9441,1
2016-06-16,GBP,93.4947,1
2016-06-16,RUB,1,1
2016-06-16,USD,65.9156,1
2016-06-17,EUR,74.246,1
2016-06-17,GBP,93.3854,1
2016-06-17,RUB,1,1
2016-06-17,USD,65.8618,1
2016-06-18,EUR,73.5609,1
2016-06-18,GBP,93.5135,1
2016-06-18,RUB,1,1
2016-06-18,USD,65.4398,1
2016-06-19,EUR,73.5609,1
2016-06-19,GBP,93.5135,1
2016-06-19,RUB,1,1
2016-06-19,USD,65.4398,1
2016-06-20,EUR,73.5609,1
2016-06-20,GBP,93.5135,1
2016-06-20,RUB,1,1
2016-06-20,USD,65.4398,1
2016-06-21,EUR,72.7792,1
2016-06-21,GBP,94.0003,1
2016-06-21,RUB,1,1
2016-06-21,USD,64.1509,1
2016-06-22,EUR,72.7865,1
2016-06-22,GBP,94.5223,1
2016-06-22,RUB,1,1
2016-06-22,USD,64.1743,1
2016-06-23,EUR,71.8082,1
2016-06-23,GBP,93.4334,1
2016-06-23,RUB,1,1
2016-06-23,USD,63.7162,1
2016-06-24,EUR,72.9016,1
2016-06-24,GBP,95.0281,1
2016-06-24,RUB,1,1
2016-06-24,USD,64.3212,1
2016-06-25,EUR,72.6582,1
2016-06-25,GBP,90.5017,1
2016-06-25,RUB,1,1
2016-06-25,USD,65.5287,1
2016-06-26,EUR,72.6582,1
2016-06-26,GBP,90.5017,1
2016-06-26,RUB,1,1
2016-06-26,USD,65.5287,1
2016-06-27,EUR,72.6582,1
2016-06-27,GBP,90.5017,1
2016-06-27,RUB,1,1
2016-06-27,USD,65.5287,1
2016-06-28,EUR,71.942,1
2016-06-28,GBP,87.1463,1
2016-06-28,RUB,1,1
2016-06-28,USD,65.0588,1
2016-06-29,EUR,71.7117,1
2016-06-29,GBP,86.4364,1
2016-06-29,RUB,1,1
2016-06-29,USD,64.8095,1
2016-06-30,EUR,71.2102,1
2016-06-30,GBP,86.0472,1
2016-06-30,RUB,1,1
2016-06-30,USD,64.2575,1
2016-07-01,EUR,71.2926,1
2016-07-01,GBP,86.4701,1
2016-07-01,RUB,1,1
2016-07-01,USD,64.1755,1
2016-07-02,EUR,71.0519,1
2016-07-02,GBP,85.1804,1
2016-07-02,RUB,1,1
2016-07-02,USD,64.0165,1
2016-07-03,EUR,71.0519,1
2016-07-03,GBP,85.1804,1
2016-07-03,RUB,1,1
2016-07-03,USD,64.0165,1
2016-07-04,EUR,71.0519,1
2016-07-04,GBP,85.1804,1
2016-07-04,RUB,1,1
2016-07-04,USD,64.0165,1
2016-07-05,EUR,70.8553,1
2016-07-05,GBP,84.6302,1
2016-07-05,RUB,1,1
2016-07-05,USD,63.6844,1
2016-07-06,EUR,71.6327,1
2016-07-06,GBP,84.634,1
2016-07-06,RUB,1,1
2016-07-06,USD,64.2676,1
2016-07-07,EUR,71.5135,1
2016-07-07,GBP,83.677,1
2016-07-07,RUB,1,1
2016-07-07,USD,64.6304,1
2016-07-08,EUR,70.9482,1
2016-07-08,GBP,83.1433,1
2016-07-08,RUB,1,1
2016-07-08,USD,64.05,1
2016-07-09,EUR,71.1684,1
2016-07-09,GBP,83.1508,1
2016-07-09,RUB,1,1
2016-07-09,USD,64.2488,1
2016-07-10,EUR,71.1684,1
2016-07-10,GBP,83.1508,1
2016-07-10,RUB,1,1
2016-07-10,USD,64.2488,1
2016-07-11,EUR,71.1684,1
2016-07-11,GBP,83.1508,1
2016-07-11,RUB,1,1
2016-07-11,USD,64.2488,1
2016-07-12,EUR,70.8152,1
2016-07-12,GBP,82.7441,1
2016-07-12,RUB,1,1
2016-07-12,USD,64.2024,1
2016-07-13,EUR,70.9833,1
2016-07-13,GBP,83.9812,1
2016-07-13,RUB,1,1
2016-07-13,USD,63.9029,1
2016-07-14,EUR,70.5577,1
2016-07-14,GBP,84.4713,1
2016-07-14,RUB,1,1
2016-07-14,USD,63.8531,1
2016-07-15,EUR,70.5644,1
2016-07-15,GBP,84.1255,1
2016-07-15,RUB,1,1
2016-07-15,USD,63.5773,1
2016-07-16,EUR,70.3395,1
2016-07-16,GBP,84.7295,1
2016-07-16,RUB,1,1
2016-07-16,USD,63.1697,1
2016-07-17,EUR,70.3395,1
2016-07-17,GBP,84.7295,1
2016-07-17,RUB,1,1
2016-07-17,USD,63.1697,1
2016-07-18,EUR,70.3395,1
2016-07-18,GBP,84.7295,1
2016-07-18,RUB,1,1
2016-07-18,USD,63.1697,1
2016-07-19,EUR,69.7741,1
2016-07-19,GBP,83.6595,1
2016-07-19,RUB,1,1
2016-07-19,USD,63.1154,1
2016-07-20,EUR,69.6974,1
2016-07-20,GBP,83.1519,1
2016-07-20,RUB,1,1
2016-07-20,USD,62.9891,1
2016-07-21,EUR,69.6967,1
2016-07-21,GBP,83.0716,1
2016-07-21,RUB,1,1
2016-07-21,USD,63.4183,1
2016-07-22,EUR,70.3022,1
2016-07-22,GBP,84.1906,1
2016-07-22,RUB,1,1
2016-07-22,USD,63.7373,1
2016-07-23,EUR,71.2513,1
2016-07-23,GBP,85.7794,1
2016-07-23,RUB,1,1
2016-07-23,USD,64.627,1
