dt,currency,rate_to_rub,nominal
2016-03-10,EUR,79.4488,1
2016-03-10,GBP,102.6602,1
2016-03-10,RUB,1,1
2016-03-10,USD,72.3775,1
2016-09-06,EUR,72.3742,1
2016-09-06,GBP,86.305,1
2016-09-06,RUB,1,1
2016-09-06,USD,64.7644,1
2016-12-09,EUR,68.2458,1
2016-12-09,GBP,80.0807,1
2016-12-09,RUB,1,1
2016-12-09,USD,63.3901,1
2016-06-07,EUR,74.6907,1
2016-06-07,GBP,94.967,1
2016-06-07,RUB,1,1
2016-06-07,USD,65.7894,1
2016-01-22,EUR,91.1814,1
2016-01-22,GBP,118.3987,1
2016-01-22,RUB,1,1
2016-01-22,USD,83.5913,1
2016-10-24,EUR,68.0267,1
2016-10-24,GBP,76.4449,1
2016-10-24,RUB,1,1
2016-10-24,USD,62.4499,1
2016-09-07,EUR,72.3639,1
2016-09-07,GBP,86.4646,1
2016-09-07,RUB,1,1
2016-09-07,USD,64.8306,1
2016-07-24,EUR,71.2513,1
2016-07-24,GBP,85.7794,1
2016-07-24,RUB,1,1
2016-07-24,USD,64.627,1
2016-04-22,EUR,73.4592,1
2016-04-22,GBP,93.0904,1
2016-04-22,RUB,1,1
2016-04-22,USD,65.0254,1
2016-06-08,EUR,74.1164,1
2016-06-08,GBP,94.9963,1
2016-06-08,RUB,1,1
2016-06-08,USD,65.2089,1
2016-12-10,EUR,67.2086,1
2016-12-10,GBP,79.6349,1
2016-12-10,RUB,1,1
2016-12-10,USD,63.3028,1
2016-03-11,EUR,77.9817,1
2016-03-11,GBP,101.0869,1
2016-03-11,RUB,1,1
2016-03-11,USD,71.0928,1
2016-10-25,EUR,67.7302,1
2016-10-25,GBP,76.1071,1
2016-10-25,RUB,1,1
2016-10-25,USD,62.2349,1
2016-01-23,EUR,87.2266,1
2016-01-23,GBP,114.9029,1
2016-01-23,RUB,1,1
2016-01-23,USD,80.5714,1
2016-04-23,EUR,74.6959,1
2016-04-23,GBP,95.0916,1
2016-04-23,RUB,1,1
2016-04-23,USD,66.2198,1
2016-07-25,EUR,71.2513,1
2016-07-25,GBP,85.7794,1
2016-07-25,RUB,1,1
2016-07-25,USD,64.627,1
2016-09-08,EUR,72.4022,1
2016-09-08,GBP,86.2826,1
2016-09-08,RUB,1,1
2016-09-08,USD,64.3804,1
2016-12-11,EUR,67.2086,1
2016-12-11,GBP,79.6349,1
2016-12-11,RUB,1,1
2016-12-11,USD,63.3028,1
2016-06-09,EUR,73.5538,1
2016-06-09,GBP,93.999,1
2016-06-09,RUB,1,1
2016-06-09,USD,64.6797,1
2016-03-12,EUR,78.4131,1
2016-03-12,GBP,100.2855,1
2016-03-12,RUB,1,1
2016-03-12,USD,70.3067,1
2016-10-26,EUR,67.4958,1
2016-10-26,GBP,75.8785,1
2016-10-26,RUB,1,1
2016-10-26,USD,62.048,1
2016-01-24,EUR,87.2266,1
2016-01-24,GBP,114.9029,1
2016-01-24,RUB,1,1
2016-01-24,USD,80.5714,1
2016-07-26,EUR,71.209,1
2016-07-26,GBP,85.2963,1
2016-07-26,RUB,1,1
2016-07-26,USD,64.9184,1
2016-09-09,EUR,72.0464,1
2016-09-09,GBP,85.4231,1
2016-09-09,RUB,1,1
2016-09-09,USD,63.973,1
2016-04-24,EUR,74.6959,1
2016-04-24,GBP,95.0916,1
2016-04-24,RUB,1,1
2016-04-24,USD,66.2198,1
2016-12-12,EUR,67.2086,1
2016-12-12,GBP,79.6349,1
2016-12-12,RUB,1,1
2016-12-12,USD,63.3028,1
2016-03-13,EUR,78.4131,1
2016-03-13,GBP,100.2855,1
2016-03-13,RUB,1,1
2016-03-13,USD,70.3067,1
2016-06-10,EUR,72.5682,1
2016-06-10,GBP,92.1875,1
2016-06-10,RUB,1,1
2016-06-10,USD,63.7402,1
2016-10-27,EUR,67.9253,1
2016-10-27,GBP,76.0253,1
2016-10-27,RUB,1,1
2016-10-27,USD,62.2597,1
2016-01-25,EUR,87.2266,1
2016-01-25,GBP,114.9029,1
2016-01-25,RUB,1,1
2016-01-25,USD,80.5714,1
2016-07-27,EUR,72.3478,1
2016-07-27,GBP,86.0087,1
2016-07-27,RUB,1,1
2016-07-27,USD,65.7408,1
2016-03-14,EUR,78.4131,1
2016-03-14,GBP,100.2855,1
2016-03-14,RUB,1,1
2016-03-14,USD,70.3067,1
2016-09-10,EUR,72.3359,1
2016-09-10,GBP,85.2645,1
2016-09-10,RUB,1,1
2016-09-10,USD,64.1617,1
2016-04-25,EUR,74.6959,1
2016-04-25,GBP,95.0916,1
2016-04-25,RUB,1,1
2016-04-25,USD,66.2198,1
2016-06-11,EUR,73.1909,1
